ct,earfcn_dl,earfcn_ul,rf_state,band,bandwidth,plmn,tac,cell_id,esm_cause,drx,rsrp,rsrq,rssi,l2w,ri,cqi,status,sub_status,rrc,svc,sinr,tx_pwr,tmsi,ip,avg_rsrp,antbar,imsi,missdn,time_boot_ms,lat,lon,alt,vx,vy,vz,hdg,relative_alt
20220901T052753,2500,20500,RXTX,5,10,45005,1810,148926-07(272),0,640,-88,-9,-62,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,17.2,9,dfac4192,223.55.215.218,-88,4,4.50E+14,1227091531,42761,379870014,1287494122,3300,0,0,0,65535,-481
20220901T052755,2500,20500,RXTX,5,10,45005,1810,148926-07(272),0,640,-88,-9,-62,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,17.2,0,dfac4192,223.55.215.218,-88,4,4.50E+14,1227091531,43094,379870017,1287494124,3340,0,0,0,65535,-497
20220901T052757,2500,20500,RXTX,5,10,45005,1810,148926-07(272),0,640,-88,-9,-62,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,21.6,7,dfac4192,223.55.215.218,-88,4,4.50E+14,1227091531,45881,379870024,1287494133,3520,0,0,0,65535,-536
20220901T052759,2500,20500,RXTX,5,10,45005,1810,148926-07(272),0,640,-88,-9,-62,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,21.4,7,dfac4192,223.55.215.218,-88,4,4.50E+14,1227091531,48544,379870031,1287494138,3690,0,0,0,65535,-507
20220901T052801,2500,20500,RXTX,5,10,45005,1810,148926-07(272),0,640,-88,-9,-62,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,21.4,1,dfac4192,223.55.215.218,-88,4,4.50E+14,1227091531,51209,379870035,1287494140,1910,0,0,0,65535,-494
20220901T052803,2500,20500,RXTX,5,10,45005,1810,148926-07(272),0,640,-88,-9,-62,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,21.6,1,dfac4192,223.55.215.218,-88,4,4.50E+14,1227091531,52541,379870038,1287494142,1910,0,0,0,65535,-494
20220901T052805,2500,20500,RXTX,5,10,45005,1810,148926-07(272),0,640,-88,-9,-62,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,21.6,0,dfac4192,223.55.215.218,-88,4,4.50E+14,1227091531,55206,379870036,1287494142,1940,0,0,0,65535,-461
20220901T052808,2500,20500,RXTX,5,10,45005,1810,148926-07(272),0,640,-88,-9,-62,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,21.2,1,dfac4192,223.55.215.218,-88,4,4.50E+14,1227091531,56536,379870036,1287494142,1930,0,0,0,65535,-470
20220901T052810,2500,20500,RXTX,5,10,45005,1810,148926-07(272),0,640,-88,-9,-62,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,21.2,7,dfac4192,223.55.215.218,-88,4,4.50E+14,1227091531,59201,379870035,1287494144,1880,0,0,0,65535,-521
20220901T052812,2500,20500,RXTX,5,10,45005,1810,148926-07(272),0,640,-88,-9,-62,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,23.4,8,dfac4192,223.55.215.218,-88,4,4.50E+14,1227091531,61866,379870033,1287494143,1880,0,0,0,65535,-528
