ct,earfcn_dl,earfcn_ul,rf_state,band,bandwidth,plmn,tac,cell_id,esm_cause,drx,rsrp,rsrq,rssi,l2w,ri,cqi,status,sub_status,rrc,svc,sinr,tx_pwr,tmsi,ip,avg_rsrp,antbar,imsi,missdn,time_boot_ms,lat,lon,alt,vx,vy,vz,hdg,relative_alt
20220901T093733,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,30,0,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,206464,379531314,1287700393,3300,0,0,0,65535,471
20220901T093735,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,25.8,-22,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,208461,379531312,1287700389,3350,0,0,0,65535,525
20220901T093738,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,30,-20,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,210792,379531309,1287700382,3390,0,0,0,65535,560
20220901T093740,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,30,-14,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,212792,379531305,1287700373,3360,0,0,0,65535,539
20220901T093742,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,30,-20,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,215122,379531301,1287700365,3380,0,0,0,65535,555
20220901T093744,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,28,0,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,217119,379531299,1287700357,3400,0,0,0,65535,575
20220901T093746,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,28,0,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,219450,379531298,1287700348,3410,0,0,0,65535,580
20220901T093748,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,30,0,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,221450,379531298,1287700341,3410,0,0,0,65535,585
20220901T093750,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,30,-20,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,223447,379531294,1287700332,3360,0,0,0,65535,538
20220901T093753,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,30,-8,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,225779,379531291,1287700327,3400,0,0,0,65535,575
20220901T093755,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,30,-20,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,227776,379531287,1287700327,3410,0,0,0,65535,585
20220901T093757,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27,-17,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,230107,379531286,1287700327,3410,0,0,0,65535,584
20220901T093759,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,30,0,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,232104,379531286,1287700327,3430,0,0,0,65535,606
20220901T093801,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,30,-17,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,234437,379531287,1287700326,3370,0,0,0,65535,546
20220901T093803,2500,20500,RXTX,5,10,45005,1810,148922-31(273),0,640,-65,-6,-40,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,30,-20,dfc44192,27.172.151.250,-65,4,4.50E+14,1227091531,236434,379531287,1287700328,3370,0,0,0,65535,548
